"index_number","port_code","year","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
40660,"ITAOI",2022,"Small","Unknown",11,11,7.9,0,0,0,0,"Unknown","Yes","Yes","Yes",12,43.629,-13.494
36460,"FRBES",2022,"Large","Yes",12.5,21.6,12.5,0,0,0,0,"Unknown","Yes","Yes","Yes",12,48.383333,-4.5
37900,"ESVGO",2022,"Medium","No",23.2,23.2,17.1,0,0,0,0,"Yes","Yes","Yes","Yes",12,42.233333,-8.716667
38480,"ESVLC",2022,"Medium","Unknown",15.5,17.1,17.1,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,39.45,-0.316667
37830,"ESVIL",2022,"Very Small","Unknown",20.1,4.9,11,0,0,0,0,"Unknown","Unknown","Unknown","Yes",12,42.6,-8.766667
44860,"TRMER",2022,"Medium","Yes",11,3.4,3.4,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,36.8,-34.633333
37400,"ESBIO",2022,"Medium","Unknown",6.4,23.2,20.1,0,0,0,0,"Yes","Yes","Yes","Yes",12,43.35,-3.05
38630,"ESPMI",2022,"Medium","Unknown",9.4,14,18.6,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,39.566667,-2.633333
38540,"ESTAR",2022,"Large","Unknown",20.1,23.2,20.1,0,0,0,0,"Yes","Yes","Yes","Yes",12,41.1,-1.233333
39440,"ITSVN",2022,"Small","Yes",9.4,15.5,7.9,0,0,0,0,"Yes","Yes","Yes","Yes",12,44.316667,-8.5
42530,"GRSKG",2022,"Medium","Unknown",0,20.1,11.3,0,0,0,0,"Yes","Yes","Yes","Yes",12,40.633333,-22.933333
43390,"TRTEK",2022,"Very Small","Unknown",0,11,9.4,0,0,0,0,"Unknown","Yes","Yes","Yes",12,40.983333,-27.516667
38160,"ESSCT",2022,"Medium","Unknown",11,23.2,18.6,0,0,0,0,"Unknown","Unknown","Unknown","Yes",12,28.466667,-16.233333
38130,"PTFNC",2022,"Large","Unknown",12.5,12.5,11,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,32.633333,-16.916667
38170,"ESLPA",2022,"Large","No",11,23.2,21.6,0,0,0,0,"Yes","Yes","Yes","Yes",12,28.15,-15.416667
39210,"ITCAG",2022,"Medium","Unknown",14,12.5,7.9,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,39.19,-9.102
43560,"ROCND",2022,"Medium","Yes",20.1,23.2,6.4,0,0,0,0,"Unknown","Yes","Yes","Yes",12,44.166667,-28.65
31660,"GBHUL",2022,"Medium","Yes",4.9,4.9,9.4,0,0,0,0,"Yes","Unknown","Yes","Yes",12,53.75,-0.283333
31650,"GBIMM",2022,"Medium","Yes",7.9,4.9,12.5,0,0,0,0,"No","Yes","Yes","Yes",12,53.633333,-0.2
31560,"GBFXT",2022,"Very Small","Unknown",14,11,6.4,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,51.95,-1.316667
31270,"BEGNE",2022,"Medium","Yes",11,14,11,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,51.066667,-3.733333
31250,"BEANR",2022,"Large","Yes",11,20.1,11,0,0,0,0,"Yes","Yes","Yes","Yes",12,51.216667,-4.4
31060,"NLAMS",2022,"Large","Yes",12.5,14,9.4,0,0,0,0,"Yes","Yes","Yes","Yes",12,52.366667,-4.9
24020,"SEGOT",2022,"Large","Yes",7.9,23.2,4.9,0,0,0,0,"Yes","Yes","Yes","Yes",12,57.709722222,-11.954722222
23840,"NOFRK",2022,"Small","Yes",4.9,7.9,3.4,0,0,0,0,"Unknown","Yes","Yes","Yes",12,59.179166667,-10.952777778
35732,"FRDKK",2022,"Medium","Yes",20.1,20.1,21.6,0,0,0,0,"Unknown","Yes","Unknown","Unknown",75,51.066667,-2.35
35070,"GBBRS",2022,"Medium","Yes",6.4,6.4,14,0,0,0,0,"Unknown","Yes","Yes","Yes",12,51.466667,-2.633333
